mirror|weird|adapted_url|adapted_url_correct|adapted_url_archive|adapted_url_archive_correct
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/File_RobotConsole.html|True|http://robowiki.net/wiki/File:RobotConsole|http error|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/Category_Debugging.html|True|http://robowiki.net/wiki/Category:Debugging|empty|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/ScalarBot/Version_History.html|False|http://robowiki.net/wiki/ScalarBot/Version_History|empty|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/Tree_View.html|False|http://robowiki.net/wiki/Tree_View|empty|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/File_FastPIF0.html|False|http://robowiki.net/wiki/File:FastPIF0|http error|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/File_FastPIF1.html|False|http://robowiki.net/wiki/File:FastPIF1|http error|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/DCBot.html|False|http://robowiki.net/wiki/DCBot|empty|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/File_Precise_Intersection_Wave_1.html|True|http://robowiki.net/wiki/File:Precise_Intersection_Wave_1|http error|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/File_Precise_Intersection_Wave_2.html|True|http://robowiki.net/wiki/File:Precise_Intersection_Wave_2|http error|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/File_Precise_Intersection_Wave_3.html|True|http://robowiki.net/wiki/File:Precise_Intersection_Wave_3|http error|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/File_Precise_Intersection_Wave_4.html|True|http://robowiki.net/wiki/File:Precise_Intersection_Wave_4|http error|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/File_Virtual_bullets_sample.html|False|http://robowiki.net/wiki/File:Virtual_bullets_sample|http error|False|False
